Date,Local Site Name,Site Address,State,County,City,Parameter Name,Units of Measure,Method,Sample Duration,Observation Count,Arithmetic Mean,AQI,Month,Month Number,Year
1999-03-07,JEFFERSON ELEMENTARY,314 W 7TH GRAND ISLAND,Nebraska,Hall,Grand Island,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),R & P Model 2025 PM2.5 Sequential w/WINS - GRAVIMETRIC,24 HOUR,1,20.2,68.0,March,3,1999
1999-03-13,JEFFERSON ELEMENTARY,314 W 7TH GRAND ISLAND,Nebraska,Hall,Grand Island,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),R & P Model 2025 PM2.5 Sequential w/WINS - GRAVIMETRIC,24 HOUR,1,12.8,52.0,March,3,1999
1999-03-16,JEFFERSON ELEMENTARY,314 W 7TH GRAND ISLAND,Nebraska,Hall,Grand Island,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),R & P Model 2025 PM2.5 Sequential w/WINS - GRAVIMETRIC,24 HOUR,1,34.0,97.0,March,3,1999
1999-03-25,JEFFERSON ELEMENTARY,314 W 7TH GRAND ISLAND,Nebraska,Hall,Grand Island,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),R & P Model 2025 PM2.5 Sequential w/WINS - GRAVIMETRIC,24 HOUR,1,9.8,41.0,March,3,1999
1999-03-28,JEFFERSON ELEMENTARY,314 W 7TH GRAND ISLAND,Nebraska,Hall,Grand Island,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),R & P Model 2025 PM2.5 Sequential w/WINS - GRAVIMETRIC,24 HOUR,1,4.7,20.0,March,3,1999
1999-03-31,JEFFERSON ELEMENTARY,314 W 7TH GRAND ISLAND,Nebraska,Hall,Grand Island,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),R & P Model 2025 PM2.5 Sequential w/WINS - GRAVIMETRIC,24 HOUR,1,9.8,41.0,March,3,1999
1999-04-03,JEFFERSON ELEMENTARY,314 W 7TH GRAND ISLAND,Nebraska,Hall,Grand Island,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),R & P Model 2025 PM2.5 Sequential w/WINS - GRAVIMETRIC,24 HOUR,1,17.9,63.0,April,4,1999
1999-04-18,JEFFERSON ELEMENTARY,314 W 7TH GRAND ISLAND,Nebraska,Hall,Grand Island,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),R & P Model 2025 PM2.5 Sequential w/WINS - GRAVIMETRIC,24 HOUR,1,5.8,24.0,April,4,1999
1999-04-21,JEFFERSON ELEMENTARY,314 W 7TH GRAND ISLAND,Nebraska,Hall,Grand Island,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),R & P Model 2025 PM2.5 Sequential w/WINS - GRAVIMETRIC,24 HOUR,1,28.7,86.0,April,4,1999
1999-04-24,JEFFERSON ELEMENTARY,314 W 7TH GRAND ISLAND,Nebraska,Hall,Grand Island,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),R & P Model 2025 PM2.5 Sequential w/WINS - GRAVIMETRIC,24 HOUR,1,18.5,64.0,April,4,1999
1999-04-27,JEFFERSON ELEMENTARY,314 W 7TH GRAND ISLAND,Nebraska,Hall,Grand Island,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),R & P Model 2025 PM2.5 Sequential w/WINS - GRAVIMETRIC,24 HOUR,1,18.5,64.0,April,4,1999
1999-04-30,JEFFERSON ELEMENTARY,314 W 7TH GRAND ISLAND,Nebraska,Hall,Grand Island,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),R & P Model 2025 PM2.5 Sequential w/WINS - GRAVIMETRIC,24 HOUR,1,9.8,41.0,April,4,1999
1999-05-03,JEFFERSON ELEMENTARY,314 W 7TH GRAND ISLAND,Nebraska,Hall,Grand Island,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),R & P Model 2025 PM2.5 Sequential w/WINS - GRAVIMETRIC,24 HOUR,1,8.9,37.0,May,5,1999
1999-05-06,JEFFERSON ELEMENTARY,314 W 7TH GRAND ISLAND,Nebraska,Hall,Grand Island,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),R & P Model 2025 PM2.5 Sequential w/WINS - GRAVIMETRIC,24 HOUR,1,3.8,16.0,May,5,1999
1999-05-09,JEFFERSON ELEMENTARY,314 W 7TH GRAND ISLAND,Nebraska,Hall,Grand Island,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),R & P Model 2025 PM2.5 Sequential w/WINS - GRAVIMETRIC,24 HOUR,1,17.0,61.0,May,5,1999
1999-05-15,JEFFERSON ELEMENTARY,314 W 7TH GRAND ISLAND,Nebraska,Hall,Grand Island,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),R & P Model 2025 PM2.5 Sequential w/WINS - GRAVIMETRIC,24 HOUR,1,9.7,40.0,May,5,1999
1999-05-24,JEFFERSON ELEMENTARY,314 W 7TH GRAND ISLAND,Nebraska,Hall,Grand Island,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),R & P Model 2025 PM2.5 Sequential w/WINS - GRAVIMETRIC,24 HOUR,1,4.4,18.0,May,5,1999
1999-05-27,JEFFERSON ELEMENTARY,314 W 7TH GRAND ISLAND,Nebraska,Hall,Grand Island,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),R & P Model 2025 PM2.5 Sequential w/WINS - GRAVIMETRIC,24 HOUR,1,6.7,28.0,May,5,1999
1999-05-30,JEFFERSON ELEMENTARY,314 W 7TH GRAND ISLAND,Nebraska,Hall,Grand Island,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),R & P Model 2025 PM2.5 Sequential w/WINS - GRAVIMETRIC,24 HOUR,1,11.4,48.0,May,5,1999
1999-06-02,JEFFERSON ELEMENTARY,314 W 7TH GRAND ISLAND,Nebraska,Hall,Grand Island,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),R & P Model 2025 PM2.5 Sequential w/WINS - GRAVIMETRIC,24 HOUR,1,4.5,19.0,June,6,1999
1999-06-05,JEFFERSON ELEMENTARY,314 W 7TH GRAND ISLAND,Nebraska,Hall,Grand Island,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),R & P Model 2025 PM2.5 Sequential w/WINS - GRAVIMETRIC,24 HOUR,1,10.6,44.0,June,6,1999
1999-06-08,JEFFERSON ELEMENTARY,314 W 7TH GRAND ISLAND,Nebraska,Hall,Grand Island,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),R & P Model 2025 PM2.5 Sequential w/WINS - GRAVIMETRIC,24 HOUR,1,10.9,45.0,June,6,1999
1999-06-11,JEFFERSON ELEMENTARY,314 W 7TH GRAND ISLAND,Nebraska,Hall,Grand Island,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),R & P Model 2025 PM2.5 Sequential w/WINS - GRAVIMETRIC,24 HOUR,1,5.3,22.0,June,6,1999
1999-06-14,JEFFERSON ELEMENTARY,314 W 7TH GRAND ISLAND,Nebraska,Hall,Grand Island,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),R & P Model 2025 PM2.5 Sequential w/WINS - GRAVIMETRIC,24 HOUR,1,10.9,45.0,June,6,1999
1999-06-17,JEFFERSON ELEMENTARY,314 W 7TH GRAND ISLAND,Nebraska,Hall,Grand Island,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),R & P Model 2025 PM2.5 Sequential w/WINS - GRAVIMETRIC,24 HOUR,1,6.8,28.0,June,6,1999
