Year,Pop
2000,27431
2001,27749
2002,28072
2003,28397
2004,28727
2005,29061
2006,29398
2007,29739
2008,30084
2009,30434
2010,30787
2011,31075
2012,31365
2013,31659
2014,31955
2015,32254
2016,32555
2017,32860
2018,33167
2019,33477
2020,33790
2021,34106
2022,34425
2023,34747
2024,35072
2025,35400
2026,35731
2027,36065
2028,36402
2029,36742
2030,37086
2031,37433
2032,37783
2033,38136
2034,38493
2035,38853
2036,39216
2037,39583
2038,39953
2039,40326
2040,40703
2041,41084
2042,41468
2043,41856
2044,42247
2045,42642
